;id;Nombre;Nemo;Tipo;Potencia;Region;F_desde;F_hasta;lat;lon
42;834;Parque Eólico Pampa Energía (MATER);PAMEEO;eolicas;50.4;BSAS;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-38.69586086233547;-62.00217819626178
43;645;P.E. CORTI;CORTEO;eolicas;100;BSAS;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-38.674887862159466;-62.02596591194228
44;649;PE La Castellana;LCASEO;eolicas;100.8;BSAS;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-38.62858647811901;-62.708678061950444
45;830;Parque Eólico La Castellana II (MATER);LCA2EO;eolicas;15.2;BSAS;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-38.62175423703675;-62.763622295929366
46;829;Parque Eólico Vientos La Genoveva II (MATER);GNV2EO;eolicas;41.8;BSAS;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-38.56304315624503;-61.92805179161478
47;763;P.E. LA GENOVEVA;GNV1EO;eolicas;88.2;BSAS;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-38.55533018409829;-61.9442952415619
48;647;PE GARCÍA DEL RÍO;GRIOEO;eolicas;10;BSAS;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-38.40682928472571;-62.25974509152916
49;828;P.E. ENERGETICA I fase 2 (MATER);EN1MEO;eolicas;19.95;BSAS;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-38.3595506224662;-62.24679194681628
50;754;P.E. ENERGETICA I;ENE1EO;eolicas;79.8;BSAS;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-38.35734287395847;-62.21930646509544
51;866;Parque eólico San Jorge y El Mataco;SJMTEO;eolicas;203.4;BSAS;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-38.33714464589652;-62.28061402728601
52;691;P.E. Miramar;MIRAEO;eolicas;98.6;BSAS;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-38.22607831835527;-58.04823131329422
53;692;C.At.Necochea I;NEC1EO;eolicas;37.95;BSAS;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-38.6167614619435;-58.827759498770455
54;867;Parque Eólico  Los Teros II (MATER);TER2EO;eolicas;52.39;BSAS;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-37.13821886921624;-59.814335359861396
55;840;Parque Eólico Los Teros;TEROEO;eolicas;122.56;BSAS;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-37.12948197310419;-59.75992337548369
