;id;Nombre;Nemo;Tipo;Potencia;Region;F_desde;F_hasta;lat;lon
188;625;SALTOII SOENERG;SAL2;termicas;60;BSAS;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-34.3045880881631;-60.22368176633458
189;453;CAPITAN SARMIEN;CSAR;termicas;5;BSAS;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-34.16383872021153;-59.76819216367065
190;894;C.T. BIO-EITTOR ENERGY;EITO;termicas;1.43;BSAS;2023-02-15T03:00:00Z;9999-12-31T03:00:00Z;-34.073846270914686;-59.075340590161375
191;631;C.T ZARATE;ZARA;termicas;212;BSAS;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-34.080928939824105;-59.12540969376067
192;508;ARRECIFES ENARS;ARRE;termicas;20;BSAS;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-34.04187389842585;-60.13007752315536
193;484;COLON BSAS;COLB;termicas;15.3;BSAS;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-33.922067497132964;-61.07674839437352
194;787;C.T. PERGAMINO;PERG;termicas;2.4;BSAS;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-33.923902572386645;-60.53871789037792
195;626;SAN PEDRO BSAS;PEDR;termicas;159;BSAS;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-33.77915378601279;-59.72974237560425
196;734;C.T. ARREBEEF ENERGIA;ABEF;termicas;1.5;BSAS;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-33.762503042696075;-60.09087475820934
197;630;G ROJO R.ENERGY;ROJO;termicas;258;BSAS;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-33.45496461081261;-60.281667683455844
198;100;ACEROS PARANA;APAR;termicas;150;BSAS;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-33.364148760098466;-60.14568092072529
199;322;AES-PARANA;AESP;termicas;870;BSAS;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-33.35488320396164;-60.171846307285044
200;5;SAN NICOLAS;SNIC;termicas;675;BSAS;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-33.356209297720156;-60.17302726296696
