Unnamed: 0.1,Unnamed: 0,id,Nombre,Nemo,Tipo,Potencia,Region,F_desde,F_hasta,lat,lon,provincia
0,0,639.0,P.E. ARAUCO II (ETAPA 1 Y 2),AR21EO,eolicas,99.75,NOA,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-28.71325137507671,-66.70538536476309,La Rioja
1,1,506.0,ARAUCO EOLICO,ARAUEO,eolicas,25.2,NOA,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-28.70193863246841,-66.75204047299732,La Rioja
2,2,568.0,ARAUCO EOLICO 2,ARA2EO,eolicas,25.2,CUY,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-28.69297965806172,-66.75442466300751,La Rioja
3,3,614.0,EL JUME,JUMEEO,eolicas,8.0,NOA,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-29.419390882194023,-63.70965786088521,Santiago del Estero
4,4,669.0,P.E. Achiras,ACHIEO,eolicas,48.0,CEN,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-33.213183892153985,-65.08005854387034,Córdoba
5,5,863.0,Parque eólico Los Olivos,OLIVEO,eolicas,22.8,CEN,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-33.23176772580827,-65.07577345512344,Córdoba
6,6,820.0,Parque eólico Manque,MANQEO,eolicas,57.0,CEN,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-33.228753062143475,-65.07507758276614,Córdoba
7,7,674.0,P.E.  Bicentenario,BICEEO,eolicas,100.8,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-47.29840109685662,-66.9979024905904,Santa Cruz
8,8,825.0,Parque Eólico del Bicentenario II (MATER),BIC2EO,eolicas,25.2,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-47.3098602165833,-67.01354943277428,Santa Cruz
9,9,871.0,P.E. Cañadon Leon (ampliacion),LEO1EO,eolicas,21.15,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-46.58868692505683,-67.64311746261487,Santa Cruz
10,10,651.0,PE CAÑADON LEON,LEONEO,eolicas,99.0,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-46.58811446592826,-67.64421076120377,Santa Cruz
11,11,652.0,PE LOS HERCULES,LHEREO,eolicas,97.2,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-46.63108585943432,-68.38525914722364,Santa Cruz
12,12,562.0,EL TORDILLO,TORDEO,eolicas,3.0,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-45.85351164320858,-67.90808706250002,Chubut
13,13,648.0,P.E. Kosten,KOSTEO,eolicas,24.0,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-45.80908375940685,-68.05533320109167,Chubut
14,14,514.0,DIADEMA EOLICO,DIADEO,eolicas,6.3,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-45.74655472022336,-67.69410422738136,Chubut
15,15,751.0,P.E. DIADEMA II,DIA2EO,eolicas,27.6,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-45.75424305234864,-67.66582874542496,Chubut
16,16,597.0,MANANTIALES BEHR (YPF),MANAEO,eolicas,99.0,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-45.651355244101815,-67.75426158351952,Chubut
17,17,522.0,MALASPINA1 ENAR,MAL1EO,eolicas,50.4,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-44.96828305588791,-67.06181425150551,Chubut
18,18,646.0,P.E. Garayalde,GARAEO,eolicas,24.15,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-44.531491864618864,-66.47382520715331,Chubut
19,19,580.0,RAWSON 3 EOLICO,RAW3EO,eolicas,25.05,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-43.37216865643174,-65.19255704151983,Chubut
20,20,517.0,RAWSONI  ENARSA,RAW1EO,eolicas,52.5,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-43.34509652573272,-65.18551220362782,Chubut
21,21,518.0,RAWSONII ENARSA,RAW2EO,eolicas,31.15,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-43.34987857748446,-65.16257087163643,Chubut
22,22,536.0,L.BLANC 4 ENARS,LOM4EO,eolicas,50.0,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-43.117405973501896,-65.24723014289705,Chubut
23,23,535.0,L.BLANC 3 ENARS,LOM3EO,eolicas,51.2,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-43.03772397638277,-65.15859838069143,Chubut
24,24,1135.0,L.BLANC 2 ENARS,LOM2EO,eolicas,51.2,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-43.02838794969582,-65.21373773122967,Chubut
25,25,533.0,L.BLANC 1 ENARS,LOM1EO,eolicas,51.2,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-43.00508034371452,-65.12321911717822,Chubut
26,26,689.0,PE L. Blanca 6,LOM6EO,eolicas,102.4,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-42.90473517455093,-65.35519945547304,Chubut
27,27,526.0,PMADRYN I ENARS,PMA1EO,eolicas,71.1,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-42.70545677901764,-65.22969699173007,Chubut
28,28,527.0,PMADRYNII ENARS,PMA2EO,eolicas,151.2,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-42.70412076184972,-65.28423884856639,Chubut
29,29,857.0,Parque eólico Autogeneración ALUAR,ALUAEO,eolicas,93.6,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-42.6351158783007,-65.28429632343943,Chubut
30,30,821.0,Parque eolico ALUAR I (MATER),ALU1EO,eolicas,50.4,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-42.60877273616415,-65.27227947184213,Chubut
31,31,747.0,P.E. CHUBUT NORTE III,CHN3EO,eolicas,57.66,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-42.610233519999966,-65.18158512999997,Chubut
32,32,644.0,PE Chubut Norte,CHNOEO,eolicas,28.8,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-42.574954165902206,-65.11984777831236,Chubut
33,33,873.0,P.E. CHUBUT NORTE II,CHN2EO,eolicas,26.0,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-42.57034305061742,-65.12251927487483,Chubut
34,34,748.0,P.E. CHUBUT NORTE IV,CHN4EO,eolicas,83.22,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-42.56166329000001,-65.19153850999996,Chubut
35,35,849.0,P.E. VIENTOS NEUQUINOS I,NEU1EO,eolicas,100.49,COM,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-39.74540748575674,-69.76743326558538,Neuquén
36,36,696.0,P.E. Pomona I,POM1EO,eolicas,101.4,COM,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-39.55933426725547,-65.72693938922056,Río Negro
37,37,835.0,Parque Eólico POMONA II (MATER),POM2EO,eolicas,11.7,COM,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-39.55981611149467,-65.7265611056351,Río Negro
38,38,673.0,PE La Banderita,BANDEO,eolicas,39.6,COM,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-37.48720358353259,-64.76158049976414,La Pampa
39,39,842.0,EÓLICO VILLALONGA II GENNEIA (MATER),VLO2EO,eolicas,3.45,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-40.03973051779777,-62.65978069093374,Buenos Aires
40,40,582.0,VILLALONGA EOLI,VLONEO,eolicas,51.75,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-40.0267501954804,-62.65875817114113,Buenos Aires
41,41,823.0,P.E. Pampa Energía III,BAHIEO,eolicas,86.4,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-38.75298900747349,-61.77164638565147,Buenos Aires
42,42,834.0,Parque Eólico Pampa Energía (MATER),PAMEEO,eolicas,50.4,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-38.69586086233547,-62.00217819626178,Buenos Aires
43,43,645.0,P.E. CORTI,CORTEO,eolicas,100.0,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-38.674887862159466,-62.02596591194228,Buenos Aires
44,44,649.0,PE La Castellana,LCASEO,eolicas,100.8,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-38.62858647811901,-62.70867806195045,Buenos Aires
45,45,830.0,Parque Eólico La Castellana II (MATER),LCA2EO,eolicas,15.2,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-38.62175423703675,-62.763622295929366,Buenos Aires
46,46,829.0,Parque Eólico Vientos La Genoveva II (MATER),GNV2EO,eolicas,41.8,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-38.56304315624503,-61.92805179161478,Buenos Aires
47,47,763.0,P.E. LA GENOVEVA,GNV1EO,eolicas,88.2,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-38.55533018409829,-61.9442952415619,Buenos Aires
48,48,647.0,PE GARCÍA DEL RÍO,GRIOEO,eolicas,10.0,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-38.40682928472571,-62.25974509152916,Buenos Aires
49,49,828.0,P.E. ENERGETICA I fase 2 (MATER),EN1MEO,eolicas,19.95,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-38.3595506224662,-62.24679194681628,Buenos Aires
50,50,754.0,P.E. ENERGETICA I,ENE1EO,eolicas,79.8,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-38.35734287395847,-62.21930646509544,Buenos Aires
51,51,866.0,Parque eólico San Jorge y El Mataco,SJMTEO,eolicas,203.4,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-38.33714464589652,-62.28061402728601,Buenos Aires
52,52,691.0,P.E. Miramar,MIRAEO,eolicas,98.6,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-38.22607831835527,-58.04823131329422,Buenos Aires
53,53,692.0,C.At.Necochea I,NEC1EO,eolicas,37.95,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-38.6167614619435,-58.827759498770455,Buenos Aires
54,54,867.0,Parque Eólico  Los Teros II (MATER),TER2EO,eolicas,52.39,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-37.13821886921624,-59.8143353598614,Buenos Aires
55,55,840.0,Parque Eólico Los Teros,TEROEO,eolicas,122.56,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-37.12948197310419,-59.75992337548369,Buenos Aires
0,0,391.0,F. AMEGHINO,AMEGHI,hidraulica,46.8,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-43.69919138277291,-66.48176107702609,Chubut
1,1,389.0,FUTALEUFU,FUTAHI,hidraulica,532.0,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-43.12918570041251,-71.62994868923936,Chubut
2,2,697.0,H RIO ESCONDIDO,RESCHI,hidraulica,7.2,COM,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-41.69133596391463,-71.56193287223144,Río Negro
3,3,62.0,ALICURA,ALICHI,hidraulica,1050.0,COM,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-40.58419649266092,-70.74742630623528,Neuquén
4,4,63.0,PIEDRA D AGUILA,PAGUHI,hidraulica,1400.0,COM,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-40.18983804924847,-69.9917941724361,Neuquén
5,5,302.0,PICHI P. LEUFU,PPLEHI,hidraulica,285.0,COM,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-40.01250878991134,-69.98495141371495,Río Negro
6,6,59.0,CHOCON,CHOCHI,hidraulica,1260.0,COM,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-39.2658472988655,-68.7560382965823,Neuquén
7,7,61.0,ARROYITO,ARROHI,hidraulica,127.8,COM,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-39.10712154281761,-68.58545090823768,Neuquén
8,8,82.0,CESPEDES,CESPHI,hidraulica,5.2,COM,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-39.559952344474695,-65.68193659124027,Río Negro
9,9,79.0,GRAL. ROCA,GROCHI,hidraulica,1.0,COM,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-39.02356366189623,-67.56950193925017,Río Negro
10,10,80.0,CIPOLLETTI,CIPOHI,hidraulica,5.4,COM,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-38.913149725540784,-67.9419236685025,Río Negro
11,11,81.0,JULIAN ROMERO,ROMEHI,hidraulica,6.2,COM,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-38.83663022688351,-68.03748819389928,Río Negro
12,12,60.0,P. BANDERITA,PBANHI,hidraulica,472.0,COM,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-38.55960663962625,-68.4744459885959,Neuquén
13,13,509.0,SALTO ANDERSEN,SANDHI,hidraulica,8.0,COM,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-38.82139794024728,-64.81720787593449,Río Negro
