,id,Nombre,Nemo,Tipo,Potencia,Region,F_desde,F_hasta,lat,lon,provincia,Tipo_eco
321,31.0,MAR DEL PLATA,MDPA,termicas,178.0,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-38.05020004302159,-57.546469758973,Buenos Aires,No Renovable
322,665.0,MAR DEL PLATA 2,MDP2,termicas,102.0,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-38.0509628204351,-57.54629415499096,Buenos Aires,No Renovable
323,32.0,VILLA GESELL,VGES,termicas,125.0,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-37.24896210444879,-56.99760819977808,Buenos Aires,No Renovable
324,35.0,MAR DE AJO,MDAJ,termicas,30.0,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-36.72077028430905,-56.69394017708728,Buenos Aires,No Renovable
325,760.0,C.T. General Alvear,GALV,termicas,1.07,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-36.0162412371168,-60.106227528217815,Buenos Aires,No Renovable
326,486.0,VILLEGAS ENARSA,VGAD,termicas,23.5,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-35.03492581278032,-62.99814197744895,Buenos Aires,No Renovable
327,785.0,C.T. PACUCA BIO ENERGIA. ROQUE PEREZ. BSAS.,PACU,termicas,1.2,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-35.383181470564416,-59.44235820016646,Buenos Aires,No Renovable
328,481.0,LINCOLN,LINC,termicas,15.0,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-34.85690968388304,-61.52040883428055,Buenos Aires,No Renovable
329,663.0,BRAGADO II,BRA2,termicas,59.0,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-35.13519833740736,-60.43421702554578,Buenos Aires,No Renovable
330,664.0,BRAGADO III,BRA3,termicas,59.0,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-35.13378732722976,-60.43514851121186,Buenos Aires,No Renovable
331,516.0,LOBOS ENARSA,LOBO,termicas,19.68,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-35.19111218978375,-59.078613113270976,Buenos Aires,No Renovable
332,261.0,NIDERA JUNIN,NIDE,termicas,7.0,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-34.58675674108428,-61.03091623869644,Buenos Aires,No Renovable
333,33.0,JUNIN,JUNI,termicas,22.4,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-34.57108864885207,-60.91613190824394,Buenos Aires,No Renovable
334,548.0,MAGDALENA ENARS,MAGD,termicas,25.0,GBA,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-35.10013742381439,-57.4843302668866,Buenos Aires,No Renovable
335,432.0,LA PLATA,LPLA,termicas,40.4,GBA,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-34.9349660240086,-58.01816900687364,Buenos Aires,No Renovable
336,714.0,CG La Plata YPF,LPLC,termicas,84.0,GBA,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-34.894496496860505,-57.920373709371816,Buenos Aires,No Renovable
337,244.0,CO. ENSENADA,ENSE,termicas,128.0,GBA,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-34.89178135550524,-57.92335836096743,Buenos Aires,No Renovable
338,48.0,DIQUE,DIQU,termicas,55.0,GBA,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-34.89052275126154,-57.932316836408376,Buenos Aires,No Renovable
339,479.0,ENSE. BARRAGAN,EBAR,termicas,818.0,GBA,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-34.85880925783,-57.95227993492404,Buenos Aires,No Renovable
340,755.0,C.T. ENSENADA. BRS,ENRS,termicas,5.3,GBA,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-34.85173704999996,-57.96610647999994,Buenos Aires,No Renovable
341,412.0,GRAL BELGRANO,GBEL,termicas,873.0,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-34.184651519208714,-59.00618087446076,Buenos Aires,No Renovable
342,,SIDERCA,,termicas,37.5,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-34.15156312759068,-58.97595689160947,Buenos Aires,No Renovable
343,625.0,SALTOII SOENERG,SAL2,termicas,60.0,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-34.3045880881631,-60.22368176633458,Buenos Aires,No Renovable
344,453.0,CAPITAN SARMIEN,CSAR,termicas,5.0,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-34.16383872021153,-59.76819216367065,Buenos Aires,No Renovable
345,894.0,C.T. BIO-EITTOR ENERGY,EITO,termicas,1.43,BSAS,2023-02-15T03:00:00Z,9999-12-31T03:00:00Z,-34.073846270914686,-59.075340590161375,Buenos Aires,No Renovable
346,631.0,C.T ZARATE,ZARA,termicas,212.0,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-34.080928939824105,-59.12540969376067,Buenos Aires,No Renovable
347,508.0,ARRECIFES ENARS,ARRE,termicas,20.0,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-34.04187389842585,-60.13007752315536,Buenos Aires,No Renovable
348,484.0,COLON BSAS,COLB,termicas,15.3,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-33.922067497132964,-61.07674839437352,Buenos Aires,No Renovable
349,787.0,C.T. PERGAMINO,PERG,termicas,2.4,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-33.923902572386645,-60.53871789037792,Buenos Aires,No Renovable
350,626.0,SAN PEDRO BSAS,PEDR,termicas,159.0,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-33.77915378601279,-59.72974237560425,Buenos Aires,No Renovable
351,734.0,C.T. ARREBEEF ENERGIA,ABEF,termicas,1.5,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-33.762503042696075,-60.09087475820934,Buenos Aires,No Renovable
352,630.0,G ROJO R.ENERGY,ROJO,termicas,258.0,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-33.45496461081261,-60.28166768345584,Buenos Aires,No Renovable
353,100.0,ACEROS PARANA,APAR,termicas,150.0,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-33.364148760098466,-60.14568092072529,Buenos Aires,No Renovable
354,322.0,AES-PARANA,AESP,termicas,870.0,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-33.35488320396164,-60.17184630728504,Buenos Aires,No Renovable
355,5.0,SAN NICOLAS,SNIC,termicas,675.0,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-33.35620929772016,-60.17302726296696,Buenos Aires,No Renovable
